Date,AL,BA,BE,BG,CY,DE,DK,EE,EL,ES,FI,FR,HR,IE,IT,LT,LV,ME,ML,NL,NO,PL,PT,RO,SE,SI,UK
2008-03-07,0.0,0.0,0.0,1361.6868455948702,0.0,0.0,71308.02003936,20905.78782661296,0.0,0.0,37.36311692,485.476238115,25.35242984,0.0,152.56310882399998,0.0,0.0,0.0,0.0,10183.68252792,7.237597203899999,0.0,0.0,0.0,1329.689908785,0.0,140316.4324505
2008-03-08,0.0,0.0,0.0,2236.477517931354,0.0,0.0,100584.55191564,9226.8113891424,0.0,0.0,33.684065365,543.1361340880001,3.88506271,0.0,33.0193855656,0.0,0.0,0.0,0.0,13118.17562121,18.260286684,0.0,0.0,0.0,1965.27441425,0.0,152739.72523562
2008-03-09,0.0,0.0,0.0,1154.5849929651,0.0,0.0,112962.12866016,18554.960394944,0.0,0.0,76.2614552,638.159168537,0.4383758806,0.0,5.2759312956,0.0,0.0,0.0,0.0,12623.9067207,20.39103916,0.0,0.0,0.0,3424.45593315,0.0,115628.75974181
2008-03-10,0.0,0.0,0.0,1781.0275848190186,0.0,0.0,108200.28459396,25878.43914584,0.0,0.0,69.0212939,884.8255910190001,13.392134654,0.0,112.0589994888,0.0,0.0,0.0,0.0,15092.11115313,9.1712840285,0.0,0.0,0.0,2521.39562633,0.0,124469.821295795
2008-03-11,0.0,0.0,0.0,11654.450999079,0.0,0.0,123448.57277376,25449.1775504,0.0,0.0,49.9082284,1225.283770943,7.36434395686,0.0,241.164161028,0.0,0.0,0.0,0.0,15100.23688701,9.726919764999998,0.0,0.0,0.0,2456.65140315,0.0,121469.3360123
2008-03-12,0.0,0.0,0.0,4374.173104446,0.0,0.0,115281.99470112,24392.419163248,0.0,0.0,55.53880305,1075.148745789,4.512367938,0.0,172.754299116,0.0,0.0,0.0,0.0,14833.43568003,10.436036904999998,0.0,0.0,0.0,2329.60552587,0.0,140894.352384915
2008-03-13,0.0,0.0,0.0,4956.69340816779,0.0,0.0,113472.24291936,3449.4805074552,0.0,0.0,32.15364227,689.509123262,0.97503483226,0.0,128.3862168288,0.0,0.0,0.0,0.0,14131.74887718,6.827062652999999,0.0,0.0,0.0,1616.89221281,0.0,115253.710450955
2008-03-14,0.0,0.0,0.0,6761.8187686683605,0.0,0.0,80528.6055054,1804.0112672624,0.0,0.0,10.187526265,297.0598242671,5.385845344,0.0,31.9972536072,0.0,0.0,0.0,0.0,7572.914252409,4.446979424499999,0.0,0.0,0.0,879.86063046,0.0,44550.3286208385
2008-03-15,0.0,0.0,0.0,11781.342310938,0.0,0.0,35157.933867576,5054.0027138192,0.0,0.0,19.12223133,460.906159351,3.483449804,0.0,8.85954879684,0.0,0.0,0.0,0.0,2277.855147612,2.9646691638999987,0.0,0.0,0.0,492.958366208,0.0,50914.166457505
2008-03-16,0.0,0.0,0.0,7494.95881044477,0.0,0.0,10135.4586611772,3018.22624699656,0.0,0.0,3.789710763,975.277110611,23.20309996,0.0,83.04778949039999,0.0,0.0,0.0,0.0,12373.58588631,9.1383659064,0.0,0.0,0.0,78.704416332591,0.0,99330.31068086
